,영업활동현금흐름,당기순이익(손실),당기순이익조정을 위한 가감,영업활동으로인한자산ㆍ부채의변동,이자수취(영업),배당금수취(영업),이자지급(영업),법인세납부(환급),투자활동현금흐름,단기금융상품의 취득,단기대여금및수취채권의 취득,단기대여금및수취채권의 처분,장기금융상품의 취득,금융상품의 취득,금융상품의 처분,금융리스자산의 처분,관계기업투자의 취득,관계기업투자의 처분,유형자산의 취득,유형자산의 처분,무형자산의 취득,무형자산의 처분,임차보증금의 증가,임차보증금의 감소,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름,재무활동현금흐름,단기차입금의 증가,단기차입금의 상환,금융리스부채의 지급,자기주식의 취득,배당금지급,환율변동효과 반영전 현금및현금성자산의 순증가(감소),기초현금및현금성자산,현금및현금성자산에 대한 환율변동효과,기말현금및현금성자산
20210501,291504267270,225761328128,137441230595,-39033414679,711356301,,4707100478,28669132597,-567516336888,-20794154362,,28000000.0,,31763443200,14173512600,280000000,558000000000,4300000000.0,11964458589,216857269.0,5265722303,,6688411812,6373174785,,158384395395,889985670000,704985670000,22978475561,3637129044,,-117627674223,129104898880,3088163207,14565387864
20220101,344071664610,442664517277,170547951364,-139072321696,1990387528,10371317303.0,10470774316,131959412850,-145843570373,9549764500,5000000.0,,109952570.0,5401377135,15881599640,470649860,12579421878,,17924057340,,11736407614,500000000.0,6169356228,2193212107,101413694715.0,-108941319951,310987170000,325930930000,36430059951,15478211000,42089289000.0,89286774286,14565387864,-1871083321,101981078829
